id;other;Emoji;Emoticon;Mention;Url;Hashtag;punctuation;lower_case;
1;norm;remove;transf;raw;raw;raw;present;true;
2;norm;raw;raw;norm;norm;raw;present;true;
3;raw;transf;transf;norm;remove;raw;present;true;
4;raw;transf;remove;norm;norm;norm;present;true;
5;raw;remove;raw;remove;remove;norm;present;true;
6;norm;transf;remove;raw;raw;unp;present;true;
7;norm;raw;remove;remove;norm;tag+unp;present;true;
8;raw;raw;raw;raw;remove;tag+unp;present;true;
9;raw;remove;remove;raw;raw;remove;present;true;
10;norm;raw;transf;;raw;norm;remove;true;
11;raw;transf;remove;remove;raw;unp;remove;true;
12;norm;remove;remove;norm;norm;unp;remove;true;
13;raw;transf;transf;raw;norm;tag+unp;remove;true;
14;norm;transf;remove;remove;norm;remove;remove;true;
15;raw;raw;remove;norm;remove;remove;remove;true;
16;norm;remove;transf;remove;remove;remove;remove;true;
17;raw;transf;remove;remove;raw;raw;present;false;
18;norm;remove;remove;raw;norm;norm;present;false;
19;norm;raw;transf;remove;norm;unp;present;false;
20;raw;remove;transf;norm;remove;unp;present;false;
21;norm;transf;transf;remove;remove;tag+unp;present;false;
22;norm;transf;raw;raw;raw;remove;present;false;
23;norm;raw;raw;norm;raw;remove;present;false;
24;raw;transf;transf;norm;norm;remove;present;false;
25;raw;raw;transf;raw;norm;raw;remove;false;
26;raw;remove;remove;remove;norm;raw;remove;false;
27;norm;transf;remove;norm;remove;raw;remove;false;
28;raw;raw;transf;remove;raw;norm;remove;false;
29;norm;transf;remove;raw;remove;norm;remove;false;
30;raw;raw;remove;raw;remove;unp;remove;false;
31;raw;remove;remove;norm;raw;tag+unp;remove;false;
32;norm;remove;remove;norm;raw;tag+unp;remove;false;
33;norm;remove;remove;remove;remove;remove;remove;false;
34;norm;remove;remove;remove;remove;remove;remove;false;
35;norm;remove;remove;remove;remove;remove;remove;false;
